Date,AAPL,BRK-B,GOOG,JPM,MMM,VZ
2020-09-03,119.4382095336914,218.14999389648438,82.09200286865234,95.79167938232422,155.1056365966797,55.31035232543945
2020-09-04,119.51725006103516,218.32000732421875,79.552001953125,97.86197662353516,154.60202026367188,55.19171905517578
2020-09-08,111.47434997558594,217.8000030517578,76.61949920654297,94.45873260498047,152.1771697998047,54.717185974121094
2020-09-09,115.9206771850586,219.6300048828125,77.8479995727539,95.35682678222656,154.53671264648438,54.790191650390625
2020-09-10,112.1363525390625,217.8000030517578,76.60099792480469,94.37364959716797,152.1585235595703,54.32478713989258
2020-09-11,110.66412353515625,217.92999267578125,76.03600311279297,95.54589080810547,154.9750518798828,54.56204605102539
2020-09-14,113.98405456542969,219.94000244140625,75.96399688720703,96.86936950683594,157.11077880859375,55.04570770263672
2020-09-15,114.16190338134766,218.94000244140625,77.0719985961914,93.85372161865234,155.34812927246094,55.30122375488281
2020-09-16,110.79257202148438,219.58999633789062,76.04499816894531,94.2507553100586,158.0900421142578,55.09133529663086
2020-09-17,109.02392578125,218.0500030517578,74.77649688720703,93.17306518554688,160.76669311523438,55.2921028137207
2020-09-18,105.565673828125,218.2100067138672,72.99949645996094,92.97455596923828,158.12733459472656,55.073081970214844
2020-09-21,108.76702117919922,213.02000427246094,71.55799865722656,90.1007080078125,150.48910522460938,54.397789001464844
2020-09-22,110.47638702392578,214.16000366210938,73.27300262451172,89.11754608154297,151.40310668945312,54.58942794799805
2020-09-23,105.84233093261719,209.61000061035156,70.760498046875,87.6711654663086,148.76373291015625,53.759002685546875
2020-09-24,106.92921447753906,208.72000122070312,71.41449737548828,87.59554290771484,149.61245727539062,54.01451110839844
2020-09-25,110.9407958984375,210.4499969482422,72.24800109863281,88.36127471923828,149.47254943847656,54.197025299072266
2020-09-28,113.58882904052734,213.5399932861328,73.22599792480469,90.90425109863281,150.7689208984375,54.16965103149414
2020-09-29,112.72920227050781,210.44000244140625,73.46649932861328,90.13851165771484,149.04354858398438,54.06014633178711
2020-09-30,114.42867279052734,212.94000244140625,73.4800033569336,91.00823211669922,149.38861083984375,54.28828430175781
2020-10-01,115.39698791503906,212.02000427246094,74.50450134277344,91.66998291015625,148.0922393798828,54.25178146362305
2020-10-02,111.67196655273438,211.17999267578125,72.9209976196289,92.5396957397461,149.5564727783203,54.06014633178711
2020-10-05,115.11046600341797,212.36000061035156,74.3010025024414,94.4956283569336,151.7854766845703,54.443416595458984
2020-10-06,111.81028747558594,210.25999450683594,72.6719970703125,93.52242279052734,151.3004913330078,54.260902404785156
2020-10-07,113.70738983154297,213.2899932861328,73.0145034790039,95.15396881103516,155.27352905273438,54.397789001464844
2020-10-08,113.59869384765625,215.14999389648438,74.29650115966797,97.10990905761719,156.41131591796875,54.58961868286133
2020-10-09,115.57484436035156,215.67999267578125,75.76100158691406,96.5565185546875,157.8942108154297,54.71874237060547
2020-10-12,122.9162368774414,216.41000366210938,78.4574966430664,97.73963165283203,157.28799438476562,54.92164611816406
