date,NTGY,REE,SAN
2003-01-02,7.6563434864,,2.3098505495
2003-01-03,7.559982184,,2.222686378
2003-01-07,7.6826238416,,2.3098505495
2003-01-08,7.884106565,,2.3098505495
2003-01-09,7.9454273939,,2.3098505495
2003-01-10,7.717664315399999,,2.3185669667
2003-01-13,7.7877452626,,2.3272833841
2003-01-14,7.927907157000001,,2.3359998009000003
2003-01-15,7.8665863282,,2.3272833841
2003-01-16,7.8665863282,,2.3359998009000003
2003-01-17,7.927907157000001,,2.2401192123
2003-01-20,7.735184552100001,,2.222686378
2003-01-21,7.559982184,,2.1703878749000003
2003-01-22,7.621303012799999,,
2003-01-23,7.6826238416,,2.0832237032
2003-01-24,7.831545854600001,,2.0483580345
2003-01-27,7.4198202896,,1.9873431142
2003-01-28,7.4110601711,,
2003-01-29,7.4023000527,,1.9524774458
2003-01-30,7.3059387501,,1.9611938627
2003-01-31,7.4636208816,,1.9350446112
2003-02-03,7.4723809999,,1.9524774458
2003-02-04,7.4461006447,,1.9001789425
2003-02-05,7.5337018288,,1.96991028
2003-02-06,7.4110601711,,1.9263281941
2003-02-07,7.2796583951,,1.9176117769
2003-02-10,7.393539934400001,,1.8565968566
2003-02-11,7.4461006447,,1.9524774458
2003-02-12,7.2971786319,,1.8914625254
2003-02-13,7.3760196975,,1.8827461082
2003-02-14,7.3497393423,,1.9524774458
2003-02-17,7.4023000527,,2.0134923659
2003-02-18,7.2446179214,,2.0483580345
2003-02-19,7.2708982767,,1.9873431142
2003-02-20,7.2971786319,,1.9524774458
2003-02-21,7.3497393423,,1.96991028
2003-02-24,7.4461006447,,1.9350446112
2003-02-25,7.551222065599999,,1.8565968566
2003-02-26,7.4023000527,,1.8740296909
2003-02-27,7.2971786319,,1.9524774458
2003-02-28,7.3497393423,,2.0134923659
2003-03-03,7.4023000527,,1.9960595316
2003-03-04,7.2796583951,,1.9524774458
2003-03-05,7.3497393423,,1.9524774458
2003-03-06,7.3059387501,,1.9176117769
2003-03-07,7.1307363823,,1.8478804395
2003-03-10,6.1934037127,,1.7432834333000002
2003-03-11,6.3686060807,,1.7432834333000002
2003-03-12,6.2722447783,,1.6997013475999998
2003-03-13,6.351085844,,1.7694326851
2003-03-14,6.403646554500001,,1.9524774458
2003-03-17,6.5700888041,,2.0396416173
2003-03-18,6.3686060807,,2.0483580345
2003-03-19,6.394886436,,2.0745072861
2003-03-20,6.3686060807,,2.0483580345
2003-03-21,6.377366199299999,,2.1616714577
2003-03-24,6.2284441862,,2.0483580345
2003-03-25,6.219684067899999,,2.0745072861
2003-03-26,6.210923949600001,,2.0745072861
2003-03-27,6.210923949600001,,2.0483580345
2003-03-28,6.184643594400001,,2.0483580345
2003-03-31,6.184643594400001,,1.9524774458
2003-04-01,6.158363239,,2.0309252002
2003-04-02,6.3598459624,,2.0832237032
2003-04-03,6.3686060807,,2.1616714577
2003-04-04,6.2985251335,,2.2488356293
2003-04-07,6.403646554500001,,2.3098505495
2003-04-08,6.377366199299999,,2.3098505495
2003-04-09,6.456207264800001,,2.3098505495
2003-04-10,6.403646554500001,,2.2662684638
2003-04-11,6.4649673832,,2.3098505495
2003-04-14,6.5613286858,,2.3098505495
2003-04-15,6.7014905802,,2.3185669667
2003-04-16,6.6489298698,,2.3185669667
2003-04-17,6.6314096331,,2.3359998009000003
2003-04-22,6.6839703434,,2.3534326355
2003-04-23,6.7102506987,,2.3447162184
2003-04-24,6.7540512907000005,,2.3272833841
2003-04-25,6.8679328299,,2.3272833841
2003-04-28,6.8066120011,,2.3534326355
2003-04-29,6.955534014,,2.3447162184
2003-04-30,6.9292536588,,2.3447162184
2003-05-02,6.9292536588,,2.3447162184
2003-05-05,6.9905744876,,2.3621490526
2003-05-06,6.946773895700001,,2.3970147214
2003-05-07,6.9292536588,,2.3272833841
2003-05-08,6.955534014,,2.222686378
2003-05-09,7.0343750796,,2.3098505495
2003-05-12,6.885453066699999,,2.3185669667
2003-05-13,6.9029733036000005,,2.3098505495
2003-05-14,6.955534014,,2.3098505495
2003-05-15,7.0518953164,,2.3185669667
2003-05-16,7.1745369742,,2.3272833841
2003-05-19,7.008094724299999,,2.222686378
2003-05-20,6.955534014,,2.222686378
2003-05-21,6.9292536588,,2.1616714577
2003-05-22,6.955534014,,2.222686378
2003-05-23,6.9117334219,,2.2401192123
2003-05-26,6.946773895700001,,2.2662684638
2003-05-27,6.885453066699999,,2.2401192123
2003-05-28,6.9292536588,,2.3098505495
2003-05-29,6.885453066699999,,2.3185669667
2003-05-30,7.008094724299999,,2.3272833841
2003-06-02,6.955534014,,2.3447162184
2003-06-03,7.008094724299999,,2.3447162184
2003-06-04,7.121976263600001,,2.3534326355
2003-06-05,7.095695908500001,,2.3359998009000003
2003-06-06,7.1745369742,,2.4667460587
2003-06-09,7.1570167373,,2.3970147214
2003-06-10,7.2270976846,,2.4667460587
2003-06-11,7.2708982767,,2.5451938131
2003-06-12,7.262138158099999,,2.632357985
2003-06-13,7.2971786319,,2.6410744021
2003-06-16,7.3146988686,,2.6846564879000003
2003-06-17,7.2971786319,,2.7020893224
2003-06-18,7.2095774478,,2.6846564879000003
2003-06-19,7.192057210900001,,2.6410744021
2003-06-20,7.2971786319,,2.6846564879000003
2003-06-23,7.235857802999999,,2.6410744021
2003-06-24,7.2446179214,,2.6062087334
2003-06-25,7.2533780399,,2.6410744021
2003-06-26,7.2446179214,,2.6410744021
2003-06-27,7.235857802999999,,2.6846564879000003
2003-06-30,7.095695908500001,,2.6062087334
2003-07-01,7.2008173295,,2.5277609789
