,date,close,high,low,open,ticker,vol
0,2003-01-02,2.3098505495,2.3098505495,2.1616714577,2.1703878749000003,SAN,18661280
1,2003-01-03,2.222686378,2.3185669667,2.222686378,2.3098505495,SAN,19616133
2,2003-01-07,2.3098505495,2.3185669667,2.3011341326,2.3098505495,SAN,24824559
3,2003-01-08,2.3098505495,2.3272833841,2.2488356293,2.2662684638,SAN,31461459
4,2003-01-09,2.3098505495,2.3185669667,2.222686378,2.3098505495,SAN,24568343
5,2003-01-10,2.3185669667,2.3272833841,2.3098505495,2.3098505495,SAN,26565332
6,2003-01-13,2.3272833841,2.3447162184,2.3185669667,2.3185669667,SAN,22446292
7,2003-01-14,2.3359998009000003,2.3359998009000003,2.3185669667,2.3359998009000003,SAN,18002747
8,2003-01-15,2.3272833841,2.3534326355,2.3185669667,2.3447162184,SAN,21377894
9,2003-01-16,2.3359998009000003,2.3359998009000003,2.3098505495,2.3185669667,SAN,19674025
10,2003-01-17,2.2401192123,2.3185669667,2.2401192123,2.3185669667,SAN,26339175
11,2003-01-20,2.222686378,2.3098505495,2.222686378,2.2314027951,SAN,18640330
12,2003-01-21,2.1703878749000003,2.3098505495,2.1616714577,2.2575520466,SAN,21398080
13,2003-01-22,,2.1703878749000003,2.0745072861,2.1703878749000003,SAN,31595541
14,2003-01-23,2.0832237032,2.1616714577,2.0745072861,2.1006565376,SAN,21622306
15,2003-01-24,2.0483580345,2.1616714577,2.0483580345,2.1006565376,SAN,25552615
16,2003-01-27,1.9873431142,2.0570744517,,2.0483580345,SAN,33850439
17,2003-01-28,1.9524774458,2.0483580345,1.9524774458,2.0134923659,,27137717
18,2003-01-29,1.9524774458,1.9611938627,1.9001789425,1.9524774458,SAN,
19,2003-01-30,1.9611938627,2.0134923659,1.9437610284,1.9524774458,SAN,52619582
20,2003-01-31,1.9350446112,1.9524774458,1.9001789425,1.9524774458,SAN,38398135
21,2003-02-03,1.9524774458,1.9960595316,1.9524774458,1.9524774458,SAN,21360886
22,2003-02-04,1.9001789425,1.9611938627,1.9001789425,1.9524774458,SAN,20015196
23,2003-02-05,1.96991028,1.9960595316,1.8740296909,1.9176117769,SAN,67232643
24,2003-02-06,1.9263281941,1.96991028,1.9088953597,1.9437610284,SAN,25857965
25,2003-02-07,1.9176117769,1.9437610284,1.8827461082,1.9437610284,SAN,21926024
26,2003-02-10,1.8565968566,1.9437610284,1.8565968566,1.9437610284,SAN,22648259
27,2003-02-11,1.9524774458,1.9524774458,1.8914625254,1.8914625254,SAN,26600228
28,2003-02-12,1.8914625254,1.9176117769,1.8827461082,1.9176117769,SAN,22958253
